Cruise,Rep,Compound,detected
KM1906,220628_Smp_MU3_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU3_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU4_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU4_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU4_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU5_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU5_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU5_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU6_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU6_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU6_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU7_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU7_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU7_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU8_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU8_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU8_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU9_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU9_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU9_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU10_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU10_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU10_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU11_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU11_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU11_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU14_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU14_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU14_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU15_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU15_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU15_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU16_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU16_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU16_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU17_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU17_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU17_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU18_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU18_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU18_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU19_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU19_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU19_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU20_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU20_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU20_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU21_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU21_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU21_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU22_A,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU22_B,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU22_C,beta-Alaninebetaine,Yes
KM1906,220628_Smp_MU23_A,beta-Alaninebetaine,Yes
